rank;season_start;season_end;team;nr_games;wins;stale;loss;goals_made;goals_against;saldo;points
12;1984;1985;SBV Excelsior;34; 9;12;13; 47; 51; -4;30
13;1984;1985;AZ '67 Alkmaar;34; 8;14;12; 59; 70;-11;30
14;1984;1985;MVV Maastricht;34;10; 9;15; 39; 55;-16;29
15;1984;1985;Go Ahead Eagles;34;11; 6;17; 46; 59;-13;28
16;1984;1985;FC Volendam;34; 9; 7;18; 37; 67;-30;25
17;1984;1985;NAC Breda;34; 7; 5;22; 35; 68;-33;19
18;1984;1985;PEC Zwolle '82;34; 4; 9;21; 34; 86;-52;17
 1;1985;1986;PSV;34;27; 6; 1;100; 22; 78;60
 2;1985;1986;AFC Ajax;34;25; 2; 7;120; 35; 85;52
 3;1985;1986;Feyenoord;34;19; 6; 9; 74; 50; 24;44
 4;1985;1986;FC Groningen;34;17; 6;11; 57; 40; 17;40
 5;1985;1986;Roda JC Kerkrade;34;16; 7;11; 76; 51; 25;39
 6;1985;1986;FC Den Bosch '67;34;13;11;10; 50; 41;  9;37
 7;1985;1986;Sparta Rotterdam;34;13;11;10; 54; 59; -5;37
 8;1985;1986;Fortuna Sittard;34;11;12;11; 47; 47;  0;34
 9;1985;1986;AZ '67 Alkmaar;34;11;12;11; 40; 55;-15;34
10;1985;1986;Go Ahead Eagles;34;13; 7;14; 47; 62;-15;33
11;1985;1986;SBV Haarlem;34;10;12;12; 48; 47;  1;32
12;1985;1986;FC Utrecht;34;11;10;13; 40; 46; -6;32
13;1985;1986;VVV-Venlo;34;11; 5;18; 39; 62;-23;27
14;1985;1986;FC Twente;34; 8;11;15; 36; 69;-33;27
15;1985;1986;SBV Excelsior;34; 9; 7;18; 31; 48;-17;25
16;1985;1986;MVV Maastricht;34; 8; 8;18; 34; 60;-26;24
17;1985;1986;NEC Nijmegen;34; 9; 5;20; 33; 59;-26;23
18;1985;1986;SC Heracles '74;34; 3; 6;25; 26; 99;-73;12
 1;1986;1987;PSV;34;27; 5; 2; 99; 21; 78;59
 2;1986;1987;AFC Ajax;34;25; 3; 6; 92; 30; 62;53
 3;1986;1987;Feyenoord;34;15;12; 7; 73; 43; 30;42
 4;1986;1987;Roda JC Kerkrade;34;15; 9;10; 51; 45;  6;39
 5;1986;1987;VVV-Venlo;34;10;17; 7; 46; 45;  1;37
 6;1986;1987;FC Utrecht;34;15; 6;13; 62; 56;  6;36
 7;1986;1987;FC Twente;34;12;12;10; 39; 44; -5;36
 8;1986;1987;Sparta Rotterdam;34;11;12;11; 52; 48;  4;34
 9;1986;1987;Fortuna Sittard;34;10;12;12; 47; 49; -2;32
10;1986;1987;FC Den Bosch '67;34;10;12;12; 43; 52; -9;32
11;1986;1987;PEC Zwolle '82;34;10;11;13; 61; 57;  4;31
12;1986;1987;SBV Haarlem;34;11; 9;14; 32; 57;-25;31
13;1986;1987;FC Groningen;34; 9;12;13; 43; 43;  0;30
14;1986;1987;FC Den Haag;34; 8;12;14; 46; 64;-18;28
15;1986;1987;AZ Alkmaar;34; 7;13;14; 31; 57;-26;27
16;1986;1987;Go Ahead Eagles;34; 5;13;16; 23; 48;-25;23
17;1986;1987;BV Veendam;34; 4;15;15; 37; 67;-30;23
18;1986;1987;SBV Excelsior;34; 5; 9;20; 40; 91;-51;19
 1;1987;1988;PSV;34;27; 5; 2;117; 28; 89;59
 2;1987;1988;AFC Ajax;34;23; 4; 7; 78; 40; 38;50
 3;1987;1988;FC Twente;34;16; 9; 9; 63; 40; 23;41
 4;1987;1988;Willem II;34;14;10;10; 60; 46; 14;38
 5;1987;1988;VVV-Venlo;34;13;12; 9; 43; 35;  8;38
 6;1987;1988;Feyenoord;34;14; 8;12; 63; 57;  6;36
 7;1987;1988;FC Den Bosch '67;34;15; 6;13; 46; 46;  0;36
 8;1987;1988;Fortuna Sittard;34;11;13;10; 51; 48;  3;35
 9;1987;1988;SBV Haarlem;34;14; 6;14; 42; 46; -4;34
10;1987;1988;FC Utrecht;34;11;11;12; 41; 55;-14;33
11;1987;1988;FC Groningen;34;13; 6;15; 54; 52;  2;32
12;1987;1988;Sparta Rotterdam;34;12; 8;14; 44; 50; -6;32
13;1987;1988;PEC Zwolle '82;34;10; 9;15; 40; 64;-24;29
14;1987;1988;FC Volendam;34;10; 9;15; 40; 66;-26;29
15;1987;1988;Roda JC Kerkrade;34;10; 8;16; 46; 54; -8;28
16;1987;1988;AZ Alkmaar;34; 9;10;15; 44; 64;-20;28
17;1987;1988;FC Den Haag;34; 7; 8;19; 50; 72;-22;22
18;1987;1988;Drechtsteden '79;34; 2; 8;24; 41;100;-59;12
 1;1988;1989;PSV;34;24; 5; 5; 78; 31; 47;53
 2;1988;1989;AFC Ajax;34;22; 6; 6; 74; 32; 42;50
 3;1988;1989;FC Twente;34;11;18; 5; 47; 25; 22;40
 4;1988;1989;Feyenoord;34;15;10; 9; 66; 52; 14;40
 5;1988;1989;Roda JC Kerkrade;34;13;12; 9; 52; 38; 14;38
 6;1988;1989;FC Groningen;34;14; 8;12; 62; 51; 11;36
 7;1988;1989;BVV Den Bosch;34;15; 6;13; 48; 53; -5;36
 8;1988;1989;Fortuna Sittard;34;11;12;11; 40; 37;  3;34
 9;1988;1989;FC Volendam;34;13; 7;14; 42; 51; -9;33
10;1988;1989;SBV Haarlem;34;11;11;12; 37; 50;-13;33
11;1988;1989;RKC Waalwijk;34;11; 9;14; 53; 61; -8;31
12;1988;1989;Sparta Rotterdam;34; 9;12;13; 42; 50; -8;30
13;1988;1989;FC Utrecht;34;11; 7;16; 49; 57; -8;29
14;1988;1989;MVV Maastricht;34;10; 9;15; 41; 58;-17;29
15;1988;1989;Willem II;34; 8;11;15; 50; 68;-18;27
16;1988;1989;PEC Zwolle '82;34; 8; 9;17; 48; 70;-22;25
17;1988;1989;VVV-Venlo;34; 5;14;15; 40; 62;-22;24
18;1988;1989;BV Veendam;34; 8; 8;18; 37; 60;-23;24
 1;1989;1990;AFC Ajax;34;19;11; 4; 67; 23; 44;49
 2;1989;1990;PSV;34;20; 8; 6; 94; 36; 58;48
 3;1989;1990;FC Twente;34;16;10; 8; 48; 43;  5;42
 4;1989;1990;Vitesse;34;15;11; 8; 49; 31; 18;41
 5;1989;1990;Roda JC Kerkrade;34;14;13; 7; 53; 39; 14;41
 6;1989;1990;FC Volendam;34;15; 9;10; 43; 38;  5;39
 7;1989;1990;Fortuna Sittard;34;12;14; 8; 42; 35;  7;38
 8;1989;1990;RKC Waalwijk;34;13;11;10; 45; 47; -2;37
 9;1989;1990;FC Groningen;34;10;15; 9; 50; 46;  4;35
10;1989;1990;FC Den Haag;34;13; 7;14; 58; 63; -5;33
11;1989;1990;Feyenoord;34; 9;13;12; 51; 45;  6;31
12;1989;1990;Sparta Rotterdam;34;12; 7;15; 51; 61;-10;31
13;1989;1990;Willem II;34; 7;13;14; 42; 49; -7;27
14;1989;1990;FC Utrecht;34; 8;11;15; 27; 45;-18;27
15;1989;1990;MVV Maastricht;34; 7;13;14; 38; 61;-23;27
16;1989;1990;NEC Nijmegen;34; 5;16;13; 32; 55;-23;26
17;1989;1990;BVV Den Bosch;34; 6;13;15; 30; 51;-21;25
18;1989;1990;SBV Haarlem;34; 4; 7;23; 22; 74;-52;15
 1;1990;1991;PSV;34;23; 7; 4; 84; 28; 56;53
 2;1990;1991;AFC Ajax;34;22; 9; 3; 75; 21; 54;53
 3;1990;1991;FC Groningen;34;18;10; 6; 62; 38; 24;46
 4;1990;1991;FC Utrecht;34;16;10; 8; 42; 29; 13;42
 5;1990;1991;Vitesse;34;11;15; 8; 39; 32;  7;37
 6;1990;1991;FC Twente;34;13;10;11; 58; 48; 10;36
 7;1990;1991;RKC Waalwijk;34;11;13;10; 51; 49;  2;35
 8;1990;1991;Feyenoord;34; 8;16;10; 39; 40; -1;32
 9;1990;1991;FC Volendam;34;10;12;12; 37; 45; -8;32
10;1990;1991;Roda JC Kerkrade;34;12; 7;15; 40; 53;-13;31
11;1990;1991;Willem II;34;13; 4;17; 53; 50;  3;30
12;1990;1991;Fortuna Sittard;34; 9;12;13; 33; 47;-14;30
13;1990;1991;Sparta Rotterdam;34; 7;15;12; 40; 57;-17;29
14;1990;1991;FC Den Haag;34;10; 8;16; 40; 60;-20;28
15;1990;1991;MVV Maastricht;34; 9; 9;16; 38; 56;-18;27
16;1990;1991;SVV Schiedam;34; 8; 8;18; 31; 52;-21;24
17;1990;1991;sc Heerenveen;34; 9; 6;19; 41; 63;-22;24
18;1990;1991;NEC Nijmegen;34; 6;11;17; 27; 62;-35;23
 1;1991;1992;PSV;34;25; 8; 1; 82; 24; 58;58
 2;1991;1992;AFC Ajax;34;25; 5; 4; 83; 24; 59;55
 3;1991;1992;Feyenoord;34;20; 9; 5; 54; 19; 35;49
 4;1991;1992;Vitesse;34;15;10; 9; 47; 33; 14;40
 5;1991;1992;FC Groningen;34;14;11; 9; 44; 37;  7;39
 6;1991;1992;FC Twente;34;13; 9;12; 53; 49;  4;35
 7;1991;1992;MVV Maastricht;34;11;13;10; 42; 44; -2;35
 8;1991;1992;Sparta Rotterdam;34;11;13;10; 50; 53; -3;35
 9;1991;1992;Roda JC Kerkrade;34;12;11;11; 41; 45; -4;35
10;1991;1992;RKC Waalwijk;34;10;14;10; 50; 49;  1;34
11;1991;1992;FC Utrecht;34; 9;15;10; 37; 39; -2;33
12;1991;1992;Willem II;34;11; 9;14; 44; 45; -1;31
13;1991;1992;FC Volendam;34;10; 8;16; 34; 50;-16;28
14;1991;1992;Fortuna Sittard;34; 7;11;16; 36; 50;-14;25
15;1991;1992;SVV/Dordrecht '90;34; 9; 7;18; 38; 64;-26;25
16;1991;1992;FC Den Haag;34; 6;10;18; 35; 63;-28;22
17;1991;1992;De Graafschap;34; 6; 9;19; 29; 59;-30;21
18;1991;1992;VVV-Venlo;34; 3; 6;25; 32; 84;-52;12
 1;1992;1993;Feyenoord;34;22; 9; 3; 82; 32; 50;53
 2;1992;1993;PSV;34;22; 7; 5; 81; 34; 47;51
 3;1992;1993;AFC Ajax;34;20; 9; 5; 87; 30; 57;49
 4;1992;1993;Vitesse;34;16;14; 4; 58; 29; 29;46
 5;1992;1993;FC Twente;34;17; 8; 9; 64; 39; 25;42
 6;1992;1993;FC Volendam;34;12;13; 9; 51; 34; 17;37
 7;1992;1993;MVV Maastricht;34;15; 7;12; 49; 47;  2;37
 8;1992;1993;FC Utrecht;34;12;11;11; 44; 40;  4;35
 9;1992;1993;RKC Waalwijk;34;12; 9;13; 49; 57; -8;33
10;1992;1993;Willem II;34;12; 8;14; 41; 38;  3;32
11;1992;1993;Roda JC Kerkrade;34;11; 7;16; 51; 59; -8;29
12;1992;1993;FC Groningen;34; 9;11;14; 31; 49;-18;29
13;1992;1993;Sparta Rotterdam;34; 8;11;15; 36; 65;-29;27
14;1992;1993;SC Cambuur;34; 6;13;15; 39; 58;-19;25
15;1992;1993;Go Ahead Eagles;34; 8; 9;17; 36; 64;-28;25
16;1992;1993;Fortuna Sittard;34; 7; 7;20; 34; 76;-42;21
17;1992;1993;FC Den Bosch;34; 6; 9;19; 35; 79;-44;21
18;1992;1993;Dordrecht '90;34; 5;10;19; 30; 68;-38;20
 1;1993;1994;AFC Ajax;34;26; 2; 6; 86; 26; 60;54
 2;1993;1994;Feyenoord;34;19;13; 2; 61; 27; 34;51
 3;1993;1994;PSV;34;17;10; 7; 60; 36; 24;44
 4;1993;1994;Vitesse;34;17; 6;11; 63; 37; 26;40
 5;1993;1994;FC Twente;34;15; 9;10; 57; 43; 14;39
 6;1993;1994;Roda JC Kerkrade;34;15; 8;11; 55; 40; 15;38
 7;1993;1994;NAC Breda;34;14;10;10; 61; 52;  9;38
 8;1993;1994;Willem II;34;15; 7;12; 48; 42;  6;37
 9;1993;1994;Sparta Rotterdam;34;12; 8;14; 58; 57;  1;32
10;1993;1994;MVV Maastricht;34;11;10;13; 49; 58; -9;32
11;1993;1994;FC Volendam;34;13; 4;17; 46; 55; -9;30
12;1993;1994;Go Ahead Eagles;34;10; 8;16; 44; 57;-13;28
13;1993;1994;sc Heerenveen;34; 9;10;15; 35; 61;-26;28
14;1993;1994;FC Groningen;34; 9; 8;17; 42; 65;-23;26
15;1993;1994;FC Utrecht;34; 9; 8;17; 40; 63;-23;26
16;1993;1994;RKC Waalwijk;34; 8; 9;17; 38; 56;-18;25
17;1993;1994;VVV-Venlo;34; 7;11;16; 30; 62;-32;25
18;1993;1994;SC Cambuur;34; 6; 7;21; 28; 64;-36;19
 1;1994;1995;AFC Ajax;34;27; 7; 0;106; 28; 78;61
 2;1994;1995;Roda JC Kerkrade;34;22;10; 2; 70; 28; 42;54
 3;1994;1995;PSV;34;20; 7; 7; 85; 46; 39;47
 4;1994;1995;Feyenoord;34;19; 5;10; 66; 56; 10;43
 5;1994;1995;FC Twente;34;17; 8; 9; 66; 50; 16;42
 6;1994;1995;Vitesse;34;14;12; 8; 55; 44; 11;40
 7;1994;1995;Willem II;34;13; 8;13; 44; 48; -4;34
 8;1994;1995;RKC Waalwijk;34;11;11;12; 46; 49; -3;33
 9;1994;1995;sc Heerenveen;34;12; 6;16; 47; 60;-13;30
10;1994;1995;NAC Breda;34;11; 7;16; 54; 60; -6;29
11;1994;1995;FC Volendam;34; 8;13;13; 37; 55;-18;29
12;1994;1995;FC Utrecht;34; 8;11;15; 43; 60;-17;27
13;1994;1995;FC Groningen;34; 8;10;16; 49; 64;-15;26
14;1994;1995;Sparta Rotterdam;34; 8;10;16; 42; 58;-16;26
15;1994;1995;NEC Nijmegen;34; 9; 7;18; 48; 60;-12;25
16;1994;1995;MVV Maastricht;34; 7; 9;18; 41; 71;-30;23
17;1994;1995;Go Ahead Eagles;34; 7; 9;18; 42; 77;-35;23
18;1994;1995;Dordrecht '90;34; 5;10;19; 40; 67;-27;20
 1;1995;1996;AFC Ajax;34;26; 5; 3; 97; 24; 73;83
 2;1995;1996;PSV;34;24; 5; 5; 97; 25; 72;77
 3;1995;1996;Feyenoord;34;18; 9; 7; 66; 36; 30;63
 4;1995;1996;Roda JC Kerkrade;34;15;12; 7; 51; 35; 16;57
 5;1995;1996;Vitesse;34;15; 8;11; 48; 44;  4;53
 6;1995;1996;Sparta Rotterdam;34;14;11; 9; 53; 53;  0;53
 7;1995;1996;sc Heerenveen;34;14;11; 9; 66; 68; -2;53
 8;1995;1996;NAC Breda;34;14;10;10; 58; 44; 14;52
 9;1995;1996;FC Groningen;34;12;13; 9; 48; 45;  3;49
10;1995;1996;FC Twente;34;14; 6;14; 46; 55; -9;48
11;1995;1996;RKC Waalwijk;34;11;11;12; 44; 44;  0;44
12;1995;1996;Willem II;34; 9;12;13; 53; 59; -6;39
13;1995;1996;Fortuna Sittard;34; 6;13;15; 27; 54;-27;31
14;1995;1996;De Graafschap;34; 6;11;17; 37; 66;-29;29
15;1995;1996;FC Utrecht;34; 6;10;18; 27; 59;-32;28
16;1995;1996;FC Volendam;34; 6; 9;19; 29; 65;-36;27
17;1995;1996;NEC Nijmegen;34; 6; 7;21; 33; 73;-40;25
18;1995;1996;Go Ahead Eagles;34; 5; 7;22; 40; 71;-31;22
 1;1996;1997;PSV;34;24; 5; 5; 90; 26; 64;77
 2;1996;1997;Feyenoord;34;22; 7; 5; 67; 34; 33;73
 3;1996;1997;FC Twente;34;20; 5; 9; 60; 33; 27;65
 4;1996;1997;AFC Ajax;34;17;10; 7; 55; 31; 24;61
 5;1996;1997;Vitesse;34;15;10; 9; 53; 41; 12;55
 6;1996;1997;Roda JC Kerkrade;34;16; 7;11; 56; 47;  9;55
 7;1996;1997;sc Heerenveen;34;13;11;10; 58; 47; 11;50
 8;1996;1997;De Graafschap;34;13; 6;15; 52; 55; -3;45
 9;1996;1997;NAC Breda;34;10;10;14; 41; 54;-13;40
10;1996;1997;FC Groningen;34; 9;12;13; 43; 56;-13;39
11;1996;1997;Fortuna Sittard;34; 9;12;13; 36; 52;-16;39
12;1996;1997;FC Utrecht;34; 8;14;12; 42; 52;-10;38
13;1996;1997;Sparta Rotterdam;34;11; 5;18; 40; 56;-16;38
14;1996;1997;FC Volendam;34; 9;11;14; 36; 55;-19;38
15;1996;1997;Willem II;34; 9; 8;17; 34; 51;-17;35
16;1996;1997;RKC Waalwijk;34; 9; 7;18; 39; 61;-22;34
17;1996;1997;NEC Nijmegen;34; 7;11;16; 35; 61;-26;32
18;1996;1997;AZ Alkmaar;34; 6; 7;21; 27; 52;-25;25
 1;1997;1998;AFC Ajax;34;29; 2; 3;112; 22; 90;89
 2;1997;1998;PSV;34;21; 9; 4; 95; 44; 51;72
 3;1997;1998;Vitesse;34;21; 7; 6; 85; 48; 37;70
 4;1997;1998;Feyenoord;34;18; 7; 9; 62; 40; 22;61
 5;1997;1998;Willem II;34;17; 4;13; 66; 58;  8;55
 6;1997;1998;sc Heerenveen;34;16; 7;11; 56; 59; -3;55
 7;1997;1998;Fortuna Sittard;34;14; 6;14; 51; 53; -2;48
 8;1997;1998;NEC Nijmegen;34;14; 2;18; 40; 57;-17;44
 9;1997;1998;FC Twente;34;11;10;13; 41; 42; -1;43
10;1997;1998;FC Utrecht;34;13; 4;17; 56; 64; -8;43
11;1997;1998;De Graafschap;34;11; 9;14; 45; 49; -4;42
12;1997;1998;NAC Breda;34;12; 6;16; 41; 49; -8;42
13;1997;1998;Sparta Rotterdam;34;10;11;13; 50; 59; -9;41
14;1997;1998;Roda JC Kerkrade;34;10; 8;16; 44; 45; -1;38
15;1997;1998;MVV Maastricht;34; 9; 5;20; 35; 75;-40;32
16;1997;1998;RKC Waalwijk;34; 8; 7;19; 48; 71;-23;31
17;1997;1998;FC Groningen;34; 7;10;17; 42; 65;-23;31
18;1997;1998;FC Volendam;34; 5; 6;23; 33;102;-69;21
 1;1998;1999;Feyenoord;34;25; 5; 4; 76; 38; 38;80
 2;1998;1999;Willem II;34;20; 5; 9; 69; 46; 23;65
 3;1998;1999;PSV;34;17;10; 7; 87; 55; 32;61
 4;1998;1999;Vitesse;34;18; 7; 9; 61; 44; 17;61
 5;1998;1999;Roda JC Kerkrade;34;17; 9; 8; 59; 40; 19;60
 6;1998;1999;AFC Ajax;34;16; 9; 9; 73; 41; 32;57
 7;1998;1999;sc Heerenveen;34;14;12; 8; 53; 41; 12;54
 8;1998;1999;FC Twente;34;13;13; 8; 51; 45;  6;52
 9;1998;1999;AZ Alkmaar;34;12;12;10; 52; 60; -8;48
10;1998;1999;Fortuna Sittard;34;12; 8;14; 49; 56; -7;44
11;1998;1999;NEC Nijmegen;34;10; 9;15; 42; 56;-14;39
12;1998;1999;FC Utrecht;34;10; 8;16; 54; 64;-10;38
13;1998;1999;De Graafschap;34; 8;12;14; 40; 57;-17;36
14;1998;1999;MVV Maastricht;34; 7;11;16; 42; 63;-21;32
15;1998;1999;SC Cambuur;34; 7;11;16; 37; 64;-27;32
16;1998;1999;RKC Waalwijk;34; 6; 9;19; 41; 62;-21;27
17;1998;1999;Sparta Rotterdam;34; 7; 5;22; 37; 71;-34;26
18;1998;1999;NAC Breda;34; 4;11;19; 41; 61;-20;23
 1;1999;2000;PSV;34;27; 3; 4;105; 24; 81;84
 2;1999;2000;sc Heerenveen;34;21; 5; 8; 65; 36; 29;68
 3;1999;2000;Feyenoord;34;18;10; 6; 66; 42; 24;64
 4;1999;2000;Vitesse;34;18; 9; 7; 67; 43; 24;63
 5;1999;2000;AFC Ajax;34;18; 7; 9; 72; 51; 21;61
 6;1999;2000;FC Twente;34;16;12; 6; 57; 37; 20;60
 7;1999;2000;AZ Alkmaar;34;17; 4;13; 69; 59; 10;55
 8;1999;2000;Roda JC Kerkrade;34;16; 7;11; 62; 53;  9;55
 9;1999;2000;Willem II;34;13; 9;12; 55; 65;-10;48
10;1999;2000;FC Utrecht;34;14; 4;16; 55; 61; -6;46
11;1999;2000;RKC Waalwijk;34;12; 6;16; 44; 67;-23;42
12;1999;2000;Fortuna Sittard;34;10; 8;16; 47; 54; -7;38
13;1999;2000;Sparta Rotterdam;34;11; 4;19; 48; 75;-27;37
14;1999;2000;De Graafschap;34; 8; 9;17; 41; 60;-19;33
15;1999;2000;NEC Nijmegen;34; 7; 6;21; 35; 62;-27;27
16;1999;2000;MVV Maastricht;34; 6; 7;21; 38; 68;-30;25
17;1999;2000;SC Cambuur;34; 6; 7;21; 35; 66;-31;25
18;1999;2000;FC Den Bosch;34; 4;11;19; 36; 74;-38;23
 1;2000;2001;PSV;34;25; 8; 1; 73; 23; 50;83
 2;2000;2001;Feyenoord;34;21; 3;10; 67; 37; 30;66
 3;2000;2001;AFC Ajax;34;18; 7; 9; 85; 43; 42;61
 4;2000;2001;Roda JC Kerkrade;34;17; 8; 9; 59; 41; 18;59
 5;2000;2001;FC Utrecht;34;17; 8; 9; 58; 43; 15;59
 6;2000;2001;Vitesse;34;16;11; 7; 56; 43; 13;59
 7;2000;2001;RKC Waalwijk;34;16;11; 7; 48; 36; 12;59
 8;2000;2001;Willem II;34;14; 9;11; 60; 50; 10;51
 9;2000;2001;NAC Breda;34;13;10;11; 41; 40;  1;49
10;2000;2001;sc Heerenveen;34;11;14; 9; 51; 42;  9;47
11;2000;2001;FC Twente;34;10;11;13; 47; 60;-13;41
12;2000;2001;NEC Nijmegen;34; 9;13;12; 42; 53;-11;40
13;2000;2001;AZ Alkmaar;34; 9; 8;17; 45; 63;-18;35
14;2000;2001;FC Groningen;34; 8; 9;17; 36; 56;-20;33
15;2000;2001;De Graafschap;34; 9; 4;21; 44; 66;-22;31
16;2000;2001;Fortuna Sittard;34; 8; 7;19; 31; 64;-33;31
17;2000;2001;Sparta Rotterdam;34; 6; 7;21; 42; 72;-30;25
18;2000;2001;RBC Roosendaal;34; 4; 2;28; 37; 90;-53;14
 1;2001;2002;AFC Ajax;33;21; 7; 5; 71; 34; 37;70
 2;2001;2002;PSV;33;20; 7; 6; 75; 30; 45;67
 3;2001;2002;Feyenoord;33;19; 6; 8; 68; 29; 39;63
 4;2001;2002;Vitesse;33;16;12; 5; 43; 31; 12;60
 5;2001;2002;sc Heerenveen;33;17; 8; 8; 57; 27; 30;59
 6;2001;2002;NAC Breda;33;15; 8;10; 55; 52;  3;53
 7;2001;2002;FC Utrecht;33;14; 8;11; 60; 51;  9;50
 8;2001;2002;RKC Waalwijk;33;13; 6;14; 46; 42;  4;45
 9;2001;2002;NEC Nijmegen;33;13; 6;14; 38; 57;-19;45
10;2001;2002;Willem II;33;10;12;11; 54; 61; -7;42
11;2001;2002;FC Twente;33;10;11;12; 41; 41;  0;41
12;2001;2002;AZ Alkmaar;33;11; 7;15; 42; 45; -3;40
13;2001;2002;Roda JC Kerkrade;33;11; 7;15; 33; 45;-12;40
14;2001;2002;De Graafschap;33;10; 6;17; 41; 53;-12;36
15;2001;2002;FC Groningen;33;10; 6;17; 40; 59;-19;36
16;2001;2002;FC Den Bosch;33; 8; 9;16; 40; 54;-14;33
17;2001;2002;Sparta Rotterdam;33; 4;11;18; 26; 75;-49;23
18;2001;2002;Fortuna Sittard;33; 3; 7;23; 27; 71;-44;16
 1;2002;2003;PSV;34;26; 6; 2; 87; 20; 67;84
 2;2002;2003;AFC Ajax;34;26; 5; 3; 96; 32; 64;83
 3;2002;2003;Feyenoord;34;25; 5; 4; 89; 39; 50;80
 4;2002;2003;NAC Breda;34;13;13; 8; 42; 31; 11;52
 5;2002;2003;NEC Nijmegen;34;14; 9;11; 41; 40;  1;51
 6;2002;2003;Roda JC Kerkrade;34;14; 8;12; 58; 54;  4;50
 7;2002;2003;sc Heerenveen;34;13; 8;13; 61; 55;  6;47
 8;2002;2003;FC Utrecht;34;12;11;11; 49; 49;  0;47
 9;2002;2003;RKC Waalwijk;34;14; 4;16; 44; 51; -7;46
10;2002;2003;AZ Alkmaar;34;12; 8;14; 50; 69;-19;44
11;2002;2003;Willem II;34;11; 9;14; 48; 51; -3;42
12;2002;2003;FC Twente;34;10;11;13; 36; 45; -9;41
13;2002;2003;RBC Roosendaal;34;10; 6;18; 33; 54;-21;36
14;2002;2003;Vitesse;34; 8; 9;17; 37; 51;-14;33
15;2002;2003;FC Groningen;34; 7;11;16; 28; 44;-16;32
16;2002;2003;FC Zwolle;34; 8; 8;18; 31; 62;-31;32
17;2002;2003;SBV Excelsior;34; 5; 8;21; 38; 72;-34;23
18;2002;2003;De Graafschap;34; 6; 5;23; 35; 84;-49;23
 1;2003;2004;AFC Ajax;34;25; 5; 4; 79; 31; 48;80
 2;2003;2004;PSV;34;23; 5; 6; 92; 30; 62;74
 3;2003;2004;Feyenoord;34;20; 8; 6; 71; 38; 33;68
 4;2003;2004;sc Heerenveen;34;17; 7;10; 45; 35; 10;58
 5;2003;2004;AZ Alkmaar;34;17; 6;11; 65; 42; 23;57
 6;2003;2004;Roda JC Kerkrade;34;14;11; 9; 60; 41; 19;53
 7;2003;2004;Willem II;34;13;10;11; 47; 54; -7;49
 8;2003;2004;FC Twente;34;15; 3;16; 56; 53;  3;48
 9;2003;2004;NAC Breda;34;12;10;12; 58; 55;  3;46
10;2003;2004;FC Utrecht;34;13; 7;14; 42; 52;-10;46
11;2003;2004;RKC Waalwijk;34;10;10;14; 47; 55; -8;40
12;2003;2004;RBC Roosendaal;34;10;10;14; 34; 47;-13;40
13;2003;2004;FC Groningen;34; 9;10;15; 38; 53;-15;37
14;2003;2004;NEC Nijmegen;34;10; 4;20; 44; 62;-18;34
15;2003;2004;ADO Den Haag;34; 9; 7;18; 36; 61;-25;34
16;2003;2004;Vitesse;34; 4;16;14; 39; 56;-17;28
17;2003;2004;FC Volendam;34; 7; 6;21; 31; 79;-48;27
18;2003;2004;FC Zwolle;34; 5;11;18; 27; 67;-40;26
 1;2004;2005;PSV;34;27; 6; 1; 89; 18; 71;87
 2;2004;2005;AFC Ajax;34;24; 5; 5; 74; 33; 41;77
 3;2004;2005;AZ Alkmaar;34;19; 7; 8; 71; 41; 30;64
 4;2004;2005;Feyenoord;34;19; 5;10; 90; 51; 39;62
 5;2004;2005;sc Heerenveen;34;18; 6;10; 64; 52; 12;60
 6;2004;2005;FC Twente;34;15; 9;10; 48; 38; 10;54
 7;2004;2005;Vitesse;34;16; 6;12; 53; 49;  4;54
 8;2004;2005;Roda JC Kerkrade;34;13; 8;13; 60; 55;  5;47
 9;2004;2005;RKC Waalwijk;34;13; 8;13; 44; 51; -7;47
10;2004;2005;Willem II;34;13; 6;15; 44; 56;-12;45
11;2004;2005;FC Utrecht;34;12; 8;14; 40; 43; -3;44
12;2004;2005;FC Groningen;34;11; 7;16; 50; 58; -8;40
13;2004;2005;NEC Nijmegen;34; 9;10;15; 41; 47; -6;37
14;2004;2005;ADO Den Haag;34;10; 6;18; 44; 59;-15;36
15;2004;2005;NAC Breda;34; 9; 8;17; 43; 67;-24;35
16;2004;2005;RBC Roosendaal;34;10; 2;22; 38; 77;-39;32
17;2004;2005;De Graafschap;34; 4; 7;23; 32; 78;-46;19
18;2004;2005;FC Den Bosch;34; 5; 4;25; 23; 75;-52;19
 1;2005;2006;PSV;34;26; 6; 2; 71; 23; 48;84
 2;2005;2006;AZ Alkmaar;34;23; 5; 6; 78; 32; 46;74
 3;2005;2006;Feyenoord;34;21; 8; 5; 79; 34; 45;71
 4;2005;2006;AFC Ajax;34;18; 6;10; 66; 41; 25;60
 5;2005;2006;FC Groningen;34;16; 8;10; 46; 43;  3;56
 6;2005;2006;FC Utrecht;34;16; 7;11; 48; 44;  4;55
 7;2005;2006;sc Heerenveen;34;14; 8;12; 63; 58;  5;50
 8;2005;2006;Roda JC Kerkrade;34;15; 5;14; 57; 54;  3;50
 9;2005;2006;FC Twente;34;13; 8;13; 44; 36;  8;47
10;2005;2006;NEC Nijmegen;34;13; 8;13; 43; 43;  0;47
11;2005;2006;Vitesse;34;13; 5;16; 52; 54; -2;44
